total_loan,year_of_loan,interest,monthly_payment,house_exist,censor_status,use,post_code,region,debt_loan_ratio,del_in_18month,scoring_low,scoring_high,known_outstanding_loan,known_dero,pub_dero_bankrup,recircle_b,recircle_u,initial_list_status,app_type,title,policy_code,f0,f1,f2,f3,f4,early_return,early_return_amount,early_return_amount_3mon,isDefault
31818.18182,3.0,11.466,1174.91,0.0,1.0,2.0,193.0,13.0,2.43,0.0,556.3636364,649.0909091,3.0,0.0,0.0,7734.230769,91.8,0.0,0.0,5.0,1.0,1.0,0.0,4.0,5.0,4.0,3.0,9927.0,0.0,0.0
28000.0,5.0,16.841,670.69,0.0,2.0,0.0,491.0,30.0,11.00454545,1.0,715.0,893.75,3.0,0.0,0.0,31329.0,54.8,1.0,0.0,40642.0,1.0,7.0,0.0,4.0,45.0,22.0,0.0,0.0,0.0,0.0
17272.72727,3.0,8.9,603.32,1.0,0.0,4.0,459.0,8.0,6.409090909,0.0,774.5454545,903.6363636,5.0,0.0,0.0,18514.0,57.69230769,1.0,0.0,154.0,1.0,6.0,0.0,6.0,28.0,19.0,0.0,0.0,0.0,0.0
20000.0,3.0,4.788,602.3,0.0,1.0,0.0,157.0,8.0,9.204545455,0.0,750.0,875.0,3.0,0.0,0.0,20707.0,42.6,0.0,0.0,0.0,1.0,5.0,0.0,10.0,15.0,9.0,0.0,0.0,0.0,0.0
15272.72727,3.0,12.79,470.31,2.0,1.0,0.0,38.0,21.0,15.57818182,0.0,609.0909091,710.6060606,15.0,0.0,0.0,14016.15385,30.46153846,0.0,0.0,0.0,1.0,10.0,0.0,6.0,15.0,4.0,0.0,0.0,0.0,0.0
25454.54545,3.0,10.637,899.15,0.0,1.0,0.0,258.0,8.0,15.80727273,0.0,636.3636364,689.3939394,4.0,0.0,0.0,16084.92308,58.89230769,0.0,0.0,28.0,1.0,6.0,0.0,6.0,20.0,15.0,0.0,0.0,0.0,0.0
9090.909091,5.0,15.741,234.3,1.0,2.0,0.0,58.0,17.0,4.243636364,1.0,600.0,650.0,9.0,1.0,1.0,1527.076923,17.01538462,0.0,0.0,0.0,1.0,4.0,0.0,9.0,25.0,6.0,0.0,0.0,0.0,0.0
10288.63636,3.0,11.49,414.62,1.0,1.0,4.0,242.0,8.0,2.227272727,0.0,690.0,805.0,4.0,0.0,0.0,5082.0,34.7,0.0,0.0,4.0,1.0,4.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0
6818.181818,3.0,20.064,272.05,0.0,2.0,0.0,165.0,17.0,22.93090909,0.0,600.0,750.0,9.0,1.0,1.0,18810.0,88.61538462,0.0,0.0,0.0,1.0,6.0,0.0,2.0,34.0,22.0,0.0,0.0,0.0,0.0
10800.0,3.0,14.33,339.95,1.0,1.0,0.0,263.0,0.0,21.22363636,0.0,564.5454545,705.6818182,8.0,0.0,0.0,3433.846154,93.34615385,0.0,0.0,37768.0,1.0,3.0,0.0,15.0,6.0,6.0,0.0,0.0,0.0,0.0
14727.27273,5.0,12.897,421.92,1.0,1.0,0.0,14.0,11.0,24.5,0.0,636.3636364,689.3939394,18.0,0.0,0.0,27758.76923,69.1,1.0,0.0,35995.0,1.0,4.0,0.0,8.0,11.0,9.0,0.0,0.0,0.0,0.0
6400.0,3.0,20.889,234.57,2.0,2.0,0.0,296.0,5.0,37.56,1.0,725.4545455,906.8181818,8.0,0.0,0.0,13980.0,69.57692308,1.0,0.0,0.0,1.0,3.0,0.0,6.0,16.0,9.0,0.0,0.0,0.0,0.0
29454.54545,3.0,6.489,1115.04,2.0,1.0,0.0,49.0,12.0,29.72454545,0.0,668.1818182,779.5454545,24.0,0.0,0.0,31375.07692,48.34615385,0.0,1.0,0.0,1.0,8.0,0.0,24.0,30.0,10.0,0.0,0.0,0.0,0.0
1636.363636,3.0,17.091,65.98,1.0,1.0,0.0,255.0,9.0,23.14,0.0,660.0,770.0,6.0,2.0,0.0,5049.0,108.7692308,0.0,0.0,0.0,1.0,3.0,0.0,6.0,4.0,2.0,0.0,0.0,0.0,1.0
20415.90909,5.0,15.291,429.24,0.0,0.0,0.0,408.0,14.0,29.40909091,0.0,685.0,799.1666667,6.0,0.0,0.0,21566.53846,82.3,0.0,0.0,0.0,1.0,3.0,0.0,10.0,9.0,6.0,0.0,0.0,0.0,0.0
5500.0,3.0,12.62,184.32,1.0,0.0,0.0,549.0,8.0,36.76363636,1.0,605.4545455,706.3636364,10.0,0.0,0.0,7252.0,29.26153846,0.0,0.0,0.0,1.0,4.0,0.0,6.0,9.0,4.0,0.0,0.0,0.0,0.0
35000.0,5.0,12.69,790.82,0.0,2.0,0.0,19.0,14.0,27.45,0.0,805.0,939.1666667,17.0,0.0,0.0,3976.615385,8.615384615,0.0,0.0,0.0,1.0,3.0,0.0,10.0,18.0,6.0,0.0,0.0,0.0,1.0
7090.909091,3.0,6.615,186.23,0.0,2.0,0.0,616.0,0.0,20.71636364,0.0,556.3636364,602.7272727,11.0,0.0,0.0,10645.0,58.26923077,0.0,0.0,0.0,1.0,8.0,0.0,4.0,14.0,6.0,0.0,0.0,0.0,0.0
20454.54545,3.0,6.291,771.82,0.0,1.0,4.0,89.0,3.0,14.95454545,0.0,576.8181818,672.9545455,10.0,1.0,0.0,53312.0,53.09230769,0.0,0.0,4.0,1.0,8.0,0.0,2.0,19.0,12.0,0.0,0.0,0.0,0.0
8181.818182,5.0,17.171,241.12,1.0,2.0,4.0,95.0,13.0,14.13636364,1.0,670.0,837.5,7.0,0.0,0.0,13693.07692,73.9,0.0,0.0,4.0,1.0,4.0,0.0,5.0,6.0,4.0,0.0,0.0,0.0,1.0
41363.63636,5.0,15.939,823.31,0.0,1.0,4.0,63.0,14.0,12.99272727,0.0,540.0,675.0,21.0,0.0,0.0,47656.0,73.66153846,1.0,0.0,4.0,1.0,14.0,0.0,14.0,24.0,11.0,0.0,0.0,0.0,1.0
8727.272727,3.0,10.923,257.88,1.0,0.0,0.0,49.0,12.0,4.327272727,0.0,600.0,650.0,4.0,0.0,0.0,4550.0,46.5,0.0,0.0,0.0,1.0,4.0,0.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0
16363.63636,5.0,14.193,483.93,0.0,0.0,0.0,526.0,20.0,16.17818182,0.0,720.0,780.0,6.0,0.0,0.0,21223.0,103.3846154,1.0,0.0,0.0,1.0,4.0,0.0,12.0,7.0,3.0,0.0,0.0,0.0,0.0
21818.18182,3.0,9.99,645.25,0.0,1.0,0.0,232.0,13.0,15.68727273,0.0,660.0,825.0,7.0,1.0,1.0,6538.0,41.9,0.0,0.0,0.0,1.0,2.0,0.0,3.0,17.0,12.0,0.0,0.0,0.0,0.0
4545.454545,3.0,12.744,171.28,2.0,0.0,8.0,529.0,23.0,8.09,0.0,774.5454545,839.0909091,3.0,0.0,0.0,2917.846154,49.47692308,1.0,0.0,9.0,1.0,2.0,0.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0
17727.27273,3.0,17.091,549.77,1.0,1.0,4.0,171.0,8.0,22.77818182,0.0,741.8181818,865.4545455,9.0,0.0,0.0,11990.46154,62.13846154,1.0,0.0,4.0,1.0,3.0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,1.0
18590.90909,5.0,19.99,541.69,1.0,1.0,0.0,249.0,36.0,21.66545455,0.0,695.0,752.9166667,10.0,1.0,1.0,2249.0,26.19230769,0.0,0.0,0.0,1.0,4.0,0.0,9.0,8.0,1.0,0.0,0.0,0.0,0.0
